variant_test_data,cal_test,class,statistic,p_value
_blurred_SD2,baseline3T-cal_dv3T-test,1,q25_p,0.2893219963892429
_blurred_SD2,baseline3T-cal_dv3T-test,1,q75_p,0.7048170561229812
_blurred_SD2,baseline3T-cal_dv3T-test,1,prop_sig,0.04
_blurred_SD2,baseline3T-cal_dv3T-test,1,binom_p,0.7421613408839848
_blurred_SD2,baseline3T-cal_dv3T-test,1,fisher_p,0.638822904733918
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,median_p,0.4538311205109848
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,q25_p,0.2999588696225981
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6454100496338783
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,binom_p,1.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.8858851748046244
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,median_p,0.6503649530708908
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,q25_p,0.3882135428258025
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8879506907143782
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.02
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,binom_p,0.962918790672645
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9997445010992444
_blurred_SD2,dv3T-cal_dv3T-test,0,median_p,0.4584409559965223
_blurred_SD2,dv3T-cal_dv3T-test,0,q25_p,0.2762185425375978
_blurred_SD2,dv3T-cal_dv3T-test,0,q75_p,0.6716626097435029
_blurred_SD2,dv3T-cal_dv3T-test,0,prop_sig,0.02
_blurred_SD2,dv3T-cal_dv3T-test,0,binom_p,0.962918790672645
_blurred_SD2,dv3T-cal_dv3T-test,0,fisher_p,0.8876859013863776
_blurred_SD2,dv3T-cal_dv3T-test,1,median_p,0.51542237327162
_blurred_SD2,dv3T-cal_dv3T-test,1,q25_p,0.3106546008395615
_blurred_SD2,dv3T-cal_dv3T-test,1,q75_p,0.7089068408460613
_blurred_SD2,dv3T-cal_dv3T-test,1,prop_sig,0.03
_blurred_SD2,dv3T-cal_dv3T-test,1,binom_p,0.8817370188148796
_blurred_SD2,dv3T-cal_dv3T-test,1,fisher_p,0.914974002777274
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,median_p,5.796707885730474e-28
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,q25_p,6.840574856841233e-32
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,q75_p,4.430532740224104e-25
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,median_p,0.0641454617641557
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,q25_p,0.0198859702064007
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,q75_p,0.1522022993195439
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,prop_sig,0.42
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,binom_p,3.5297506607461823e-28
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,median_p,3.933672164237251e-29
_blurred_SD3,baseline3T-cal_dv3T-test,0,q25_p,8.476626452998769e-34
_blurred_SD3,baseline3T-cal_dv3T-test,0,q75_p,2.818502301314421e-25
_blurred_SD3,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD3,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,1,median_p,0.5988928746312356
_blurred_SD3,baseline3T-cal_dv3T-test,1,q25_p,0.3064204696659909
_blurred_SD3,baseline3T-cal_dv3T-test,1,q75_p,0.989075162879457
_blurred_SD3,baseline3T-cal_dv3T-test,1,prop_sig,0.04
_blurred_SD3,baseline3T-cal_dv3T-test,1,binom_p,0.7421613408839848
_blurred_SD3,baseline3T-cal_dv3T-test,1,fisher_p,0.9476979057779692
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,median_p,0.5318050094843498
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,q25_p,0.3315049760573232
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6766067916303311
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,binom_p,1.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.9873726838143194
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,median_p,0.695134675859977
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,q25_p,0.3880038205651297
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8677005290515796
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.01
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,binom_p,0.994079470779666
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9999866184999562
_blurred_SD3,dv3T-cal_dv3T-test,0,median_p,0.4892965380421483
_blurred_SD3,dv3T-cal_dv3T-test,0,q25_p,0.3105107940290796
_blurred_SD3,dv3T-cal_dv3T-test,0,q75_p,0.6560606174779726
_blurred_SD3,dv3T-cal_dv3T-test,0,prop_sig,0.02
_blurred_SD3,dv3T-cal_dv3T-test,0,binom_p,0.962918790672645
_blurred_SD3,dv3T-cal_dv3T-test,0,fisher_p,0.9244839572926616
_blurred_SD3,dv3T-cal_dv3T-test,1,median_p,0.5159565129382677
