variant_test_data,cal_test,statistic,p_value
_blurred_SD3,dv3T-cal_dv3T-test,fisher_p,0.9993124165117572
_blurred_SD4,baseline3T-cal_dv1.5T-test,median_p,1.549576068524834e-52
_blurred_SD4,baseline3T-cal_dv1.5T-test,q25_p,1.0852431243094736e-60
_blurred_SD4,baseline3T-cal_dv1.5T-test,q75_p,1.3936290005049327e-43
_blurred_SD4,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,median_p,3.74049033341837e-49
_blurred_SD4,baseline3T-cal_dv3T-test,q25_p,5.058300636765746e-59
_blurred_SD4,baseline3T-cal_dv3T-test,q75_p,4.273287672189861e-39
_blurred_SD4,baseline3T-cal_dv3T-test,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,median_p,0.5837595619191683
_blurred_SD4,dv1.5T-cal_dv1.5T-test,q25_p,0.4231100330943124
_blurred_SD4,dv1.5T-cal_dv1.5T-test,q75_p,0.7212024835448044
_blurred_SD4,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,fisher_p,0.9999928697060974
_blurred_SD4,dv3T-cal_dv3T-test,median_p,0.5802181004930417
_blurred_SD4,dv3T-cal_dv3T-test,q25_p,0.4573265681298236
_blurred_SD4,dv3T-cal_dv3T-test,q75_p,0.7408655110113305
_blurred_SD4,dv3T-cal_dv3T-test,prop_sig,0.01
_blurred_SD4,dv3T-cal_dv3T-test,binom_p,0.994079470779666
_blurred_SD4,dv3T-cal_dv3T-test,fisher_p,0.99998622320872
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,median_p,0.0668924506531463
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,q25_p,0.0330225961399224
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,q75_p,0.1425658364045699
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,prop_sig,0.38
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,binom_p,9.356496953871759e-24
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,median_p,0.1393718343107743
_contrast_adapthisteq,baseline3T-cal_dv3T-test,q25_p,0.0438891685283287
_contrast_adapthisteq,baseline3T-cal_dv3T-test,q75_p,0.2834758739371939
_contrast_adapthisteq,baseline3T-cal_dv3T-test,prop_sig,0.3
_contrast_adapthisteq,baseline3T-cal_dv3T-test,binom_p,8.556384800197208e-16
_contrast_adapthisteq,baseline3T-cal_dv3T-test,fisher_p,0.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,median_p,0.5561839312143593
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,q25_p,0.3088935416653939
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,q75_p,0.8188389890423747
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,fisher_p,0.9990581224656272
_contrast_adapthisteq,dv3T-cal_dv3T-test,median_p,0.5504234035080531
_contrast_adapthisteq,dv3T-cal_dv3T-test,q25_p,0.4402976765406848
_contrast_adapthisteq,dv3T-cal_dv3T-test,q75_p,0.7418062815709175
_contrast_adapthisteq,dv3T-cal_dv3T-test,prop_sig,0.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,binom_p,1.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,fisher_p,0.9999241619962416
_contrast_histeq,baseline3T-cal_dv1.5T-test,median_p,4.791431324136782e-19
_contrast_histeq,baseline3T-cal_dv1.5T-test,q25_p,4.0486867548048095e-21
_contrast_histeq,baseline3T-cal_dv1.5T-test,q75_p,1.1546239388577383e-16
_contrast_histeq,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,median_p,9.726878324469657e-19
_contrast_histeq,baseline3T-cal_dv3T-test,q25_p,3.477000556469011e-20
_contrast_histeq,baseline3T-cal_dv3T-test,q75_p,5.0296108898838877e-17
_contrast_histeq,baseline3T-cal_dv3T-test,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv3T-test,fisher_p,0.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,median_p,0.5488652670714735
_contrast_histeq,dv1.5T-cal_dv1.5T-test,q25_p,0.3846131803887178
_contrast_histeq,dv1.5T-cal_dv1.5T-test,q75_p,0.7133496945047703
_contrast_histeq,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,fisher_p,0.9986951007613302
_contrast_histeq,dv3T-cal_dv3T-test,median_p,0.6041738631052629
_contrast_histeq,dv3T-cal_dv3T-test,q25_p,0.4041623428227301
_contrast_histeq,dv3T-cal_dv3T-test,q75_p,0.739454419282428
_contrast_histeq,dv3T-cal_dv3T-test,prop_sig,0.0
_contrast_histeq,dv3T-cal_dv3T-test,binom_p,1.0
_contrast_histeq,dv3T-cal_dv3T-test,fisher_p,0.9999825535878724
_contrast_imadjust,baseline3T-cal_dv1.5T-test,median_p,0.2643858299386269
_contrast_imadjust,baseline3T-cal_dv1.5T-test,q25_p,0.1778157357262765
_contrast_imadjust,baseline3T-cal_dv1.5T-test,q75_p,0.3868493196442217
_contrast_imadjust,baseline3T-cal_dv1.5T-test,prop_sig,0.0
_contrast_imadjust,baseline3T-cal_dv1.5T-test,binom_p,1.0
_contrast_imadjust,baseline3T-cal_dv1.5T-test,fisher_p,0.0004815045789754
_contrast_imadjust,baseline3T-cal_dv3T-test,median_p,0.2128824347122114
_contrast_imadjust,baseline3T-cal_dv3T-test,q25_p,0.1021700716325283
_contrast_imadjust,baseline3T-cal_dv3T-test,q75_p,0.3914800875171274
_contrast_imadjust,baseline3T-cal_dv3T-test,prop_sig,0.12
_contrast_imadjust,baseline3T-cal_dv3T-test,binom_p,0.0042741824663659
_contrast_imadjust,baseline3T-cal_dv3T-test,fisher_p,7.920819999895912e-09
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,median_p,0.5283389067128457
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,q25_p,0.328929034857443
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,q75_p,0.8258801163416332
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,fisher_p,0.998548392072598
_contrast_imadjust,dv3T-cal_dv3T-test,median_p,0.5563718371468775
_contrast_imadjust,dv3T-cal_dv3T-test,q25_p,0.3768615913938279
_contrast_imadjust,dv3T-cal_dv3T-test,q75_p,0.7276404985476556
_contrast_imadjust,dv3T-cal_dv3T-test,prop_sig,0.01
_contrast_imadjust,dv3T-cal_dv3T-test,binom_p,0.994079470779666
_contrast_imadjust,dv3T-cal_dv3T-test,fisher_p,0.9984671036673848
baseline,baseline3T-cal_dv1.5T-test,median_p,0.5924565307761678
baseline,baseline3T-cal_dv1.5T-test,q25_p,0.4870067610415771
baseline,baseline3T-cal_dv1.5T-test,q75_p,0.7160122385818328
baseline,baseline3T-cal_dv1.5T-test,prop_sig,0.0
baseline,baseline3T-cal_dv1.5T-test,binom_p,1.0
baseline,baseline3T-cal_dv1.5T-test,fisher_p,0.9999999790156228
baseline,baseline3T-cal_dv3T-test,median_p,0.4775714841947963
baseline,baseline3T-cal_dv3T-test,q25_p,0.2820679401489075
baseline,baseline3T-cal_dv3T-test,q75_p,0.6806980020622794
baseline,baseline3T-cal_dv3T-test,prop_sig,0.0
baseline,baseline3T-cal_dv3T-test,binom_p,1.0
baseline,baseline3T-cal_dv3T-test,fisher_p,0.8366711676477024
baseline,dv1.5T-cal_dv1.5T-test,median_p,0.5742855863868344
baseline,dv1.5T-cal_dv1.5T-test,q25_p,0.3632185955947383
baseline,dv1.5T-cal_dv1.5T-test,q75_p,0.8393257367925545
baseline,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
baseline,dv1.5T-cal_dv1.5T-test,binom_p,1.0
baseline,dv1.5T-cal_dv1.5T-test,fisher_p,0.9996237746310112
baseline,dv3T-cal_dv3T-test,median_p,0.4775714841947963
baseline,dv3T-cal_dv3T-test,q25_p,0.2820679401489075
baseline,dv3T-cal_dv3T-test,q75_p,0.6806980020622794
baseline,dv3T-cal_dv3T-test,prop_sig,0.0
baseline,dv3T-cal_dv3T-test,binom_p,1.0
baseline,dv3T-cal_dv3T-test,fisher_p,0.8366711676477024
