variant_test_data,cal_test,statistic,p_value
_blurred_SD3,dv3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,median_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,q25_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,q75_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,median_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,q25_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,q75_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,median_p,0.4759820722994662
_blurred_SD4,dv1.5T-cal_dv1.5T-test,q25_p,0.0057045774245737
_blurred_SD4,dv1.5T-cal_dv1.5T-test,q75_p,0.986434448009373
_blurred_SD4,dv1.5T-cal_dv1.5T-test,prop_sig,0.33
_blurred_SD4,dv1.5T-cal_dv1.5T-test,binom_p,1.2307459685883105e-18
_blurred_SD4,dv1.5T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD4,dv3T-cal_dv3T-test,median_p,0.4609461501769044
_blurred_SD4,dv3T-cal_dv3T-test,q25_p,0.0375483116205007
_blurred_SD4,dv3T-cal_dv3T-test,q75_p,0.9884041166949646
_blurred_SD4,dv3T-cal_dv3T-test,prop_sig,0.28
_blurred_SD4,dv3T-cal_dv3T-test,binom_p,5.3271545045797865e-14
_blurred_SD4,dv3T-cal_dv3T-test,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,median_p,2.069785250691869e-26
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,q25_p,7.033601764197128e-37
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,q75_p,1.3991179620455997e-15
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
