class_conditional,variant_test_data,cal_test,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1,runs_count
False,blurred_SD1,baseline3T-cal_dv1.5T-test,0,0.9912421976346318,0.9290805800312132,0.9299026904178871,0.9994465965688988,0.49418926397343665,0.4936358605423354,0.9986317753791809,0.06842105263157895,100
False,blurred_SD1,baseline3T-cal_dv1.5T-test,1,0.32126468071867464,0.16715116279069767,0.7358139534883721,0.9994465965688988,0.21831765356945212,0.21748754842280021,0.022604424506425858,0.06842105263157895,100
False,blurred_SD1,baseline3T-cal_dv3T-test,0,0.9824229313142239,0.915334093850485,0.9165849444288783,0.9994465965688988,0.43054786939679024,0.42999446596568897,0.9979479014873505,0.15,100
False,blurred_SD1,baseline3T-cal_dv3T-test,1,0.8452034883720929,0.5440891472868217,0.5918604651162791,0.9977863862755949,0.1322634200332042,0.13004980630879912,0.9514799416065216,0.15,100
False,blurred_SD1,dv1.5T-cal_dv1.5T-test,0,0.9912831641008844,0.948255990751421,0.9493745633556322,0.981737686773658,0.5381848367459878,0.5179856115107914,0.9986350834369659,0.06842105263157895,100
False,blurred_SD1,dv1.5T-cal_dv1.5T-test,1,0.3242894056847545,0.1927820844099914,0.7901055124892333,0.9750968456004427,0.2432208079690094,0.21195351411178748,0.02251692023128271,0.06842105263157895,100
False,blurred_SD1,dv3T-cal_dv3T-test,0,0.9824229313142239,0.9378948513866434,0.9396265322488258,0.9994465965688988,0.5575539568345323,0.5570005534034311,0.9979479014873505,0.15,100
False,blurred_SD1,dv3T-cal_dv3T-test,1,0.8452034883720929,0.6032404240766074,0.6819914012116475,0.9961261759822911,0.1722468179302712,0.1671278361925844,0.9514799416065216,0.15,100
False,blurred_SD2,baseline3T-cal_dv1.5T-test,0,0.9497661242506095,0.7201418998817501,0.7250032847194849,0.9994465965688988,0.18705035971223022,0.18649695628112894,0.9818319380283356,0.06842105263157895,100
False,blurred_SD2,baseline3T-cal_dv1.5T-test,1,0.3943798449612403,0.1336950904392765,0.5845259391771019,0.9972329828444937,0.12479247371333702,0.12174875484228001,0.13868394494056702,0.06842105263157895,100
False,blurred_SD2,baseline3T-cal_dv3T-test,0,0.9492734944819949,0.6890632756711346,0.6921946003742314,0.9988931931377975,0.1664360819037078,0.1642224681793027,0.9742951095104218,0.15,100
False,blurred_SD2,baseline3T-cal_dv3T-test,1,0.8102228682170542,0.4709004174120453,0.5324388789505069,0.9955727725511898,0.10763696734919756,0.10237963475373547,0.9231807589530945,0.15,100
False,blurred_SD2,dv1.5T-cal_dv1.5T-test,0,0.9498853586636096,0.9371738310772055,0.9757266674185232,0.9773104593248478,0.5301604869950194,0.5099612617598229,0.9818310141563416,0.06842105263157895,100
False,blurred_SD2,dv1.5T-cal_dv1.5T-test,1,0.396640826873385,0.37209302325581395,0.9705989531570927,0.9731599335915883,0.38184836745987827,0.34892086330935246,0.14118605852127075,0.06842105263157895,100
False,blurred_SD2,dv3T-cal_dv3T-test,0,0.9492734944819949,0.9141693998978129,0.9424799975094176,0.9988931931377975,0.5309905921416713,0.5304371887105701,0.9742951095104218,0.15,100
False,blurred_SD2,dv3T-cal_dv3T-test,1,0.8102228682170542,0.745855694692904,0.8767231400610334,0.9928057553956835,0.36759822910902046,0.36137244050913114,0.9231807589530945,0.15,100
False,blurred_SD3,baseline3T-cal_dv1.5T-test,0,0.7819933766907393,0.2639272106162134,0.2760735077417023,0.987825124515772,0.06170448256779192,0.05201992252351964,0.8033811300992966,0.06842105263157895,100
False,blurred_SD3,baseline3T-cal_dv1.5T-test,1,0.5212847015172597,0.06098853773272378,0.27784403365798716,0.9889319313779745,0.0683453237410072,0.057830658550083014,0.5639597177505493,0.06842105263157895,100
False,blurred_SD3,baseline3T-cal_dv3T-test,0,0.8215664298781995,0.2397540916058214,0.24783992649885644,0.9872717210846708,0.05921416712783619,0.048422800221361376,0.7937118113040924,0.15,100
False,blurred_SD3,baseline3T-cal_dv3T-test,1,0.8094476744186047,0.2678890876565295,0.2678890876565295,0.9889319313779745,0.0683453237410072,0.058937465412285554,0.8543065190315247,0.15,100
False,blurred_SD3,dv1.5T-cal_dv1.5T-test,0,0.7821329549933709,0.9214295099198528,1.3580806704773134,0.935251798561151,0.5630879911455451,0.4937742114001107,0.8033962100744247,0.06842105263157895,100
False,blurred_SD3,dv1.5T-cal_dv1.5T-test,1,0.5250645994832042,0.6212624584717608,1.2402887809864556,0.942999446596569,0.5943552850027669,0.5280852241283895,0.57749342918396,0.06842105263157895,100
False,blurred_SD3,dv3T-cal_dv3T-test,0,0.8215664298781995,0.8942654527729296,1.1830677576801607,0.9677642501383508,0.5059490868843387,0.47606530160487,0.7937118113040924,0.15,100
False,blurred_SD3,dv3T-cal_dv3T-test,1,0.8094476744186047,0.8911747167561122,1.129125138427464,0.978693967902601,0.5759546209186497,0.5531267293857222,0.8543065190315247,0.15,100
False,blurred_SD4,baseline3T-cal_dv1.5T-test,0,0.5791584684320509,0.03174202166761021,0.04391669951386152,0.9822910902047592,0.040398450470392915,0.022966242390702822,0.5585321485996246,0.06842105263157895,100
False,blurred_SD4,baseline3T-cal_dv1.5T-test,1,0.6878354203935599,0.01808785529715762,0.05407407407407407,0.9858882125069175,0.05451023796347537,0.040951853901494195,0.7107139229774475,0.06842105263157895,100
False,blurred_SD4,baseline3T-cal_dv3T-test,0,0.6081872554321891,0.024624560793293462,0.031699437970761295,0.9810459324847813,0.0387382401770891,0.019922523519645824,0.5708206295967102,0.15,100
