class_conditional,variant_test_data,cal_test,run,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1
True,blurred_SD1,baseline3T-cal_dv1.5T-test,0,0,0.9922698984605306,0.9141827710448739,0.9158205044218801,0.9966887417218543,0.49933598937583,0.4960247310976843,0.9986360669136047,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,0,1,0.3655813953488372,0.2948837209302326,0.7990697674418604,0.9966887417218543,0.31456953642384106,0.3119134939271611,0.0493231937289238,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,1,0,0.991196951780318,0.8966627250032847,0.9508605965050585,0.9961389961389961,0.4364105874757908,0.43254958361478696,0.9985565543174744,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,1,1,0.32737030411449014,0.39803220035778175,0.943649373881932,0.9961389961389961,0.46332046332046334,0.45880141877559566,0.01886994019150734,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,2,0,0.9909597117589256,0.8896822797248608,0.8968227972486079,0.9953703703703703,0.43404522613065327,0.4294155965010236,0.9986425638198853,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,2,1,0.3283720930232558,0.30883720930232555,0.8548837209302326,0.9953703703703703,0.3425925925925926,0.34196445188907504,0.014079180546104908,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,3,0,0.991377057747583,0.8743794094591063,0.8870525215573556,0.9971014492753624,0.3547505126452495,0.3518519619206118,0.998641848564148,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,3,1,0.2800387596899225,0.31007751937984496,0.8488372093023255,0.9971014492753624,0.3217391304347826,0.3203720764361496,0.014377232175320387,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,4,0,0.9913696554450228,0.8343764411357797,0.8493313129982212,0.9942196531791907,0.41284403669724773,0.4070636898764385,0.99863600730896,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,4,1,0.2678725236864772,0.3066322136089578,0.8251507321274764,0.9942196531791907,0.4046242774566474,0.4021777942762193,0.013677282258868217,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,5,0,0.9906321650835244,0.8106125122830004,0.826596790042581,0.9961389961389961,0.40090380890897354,0.3970428050479697,0.9986236691474915,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,5,1,0.35255813953488374,0.3916279069767442,0.8241860465116279,0.9961389961389961,0.3474903474903475,0.3461991919060996,0.03980723395943642,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,6,0,0.9931950317124736,0.8261099365750528,0.8825977801268499,0.9942196531791907,0.39327217125382263,0.3874918244330134,0.9986723065376282,0.07368421052631578
True,blurred_SD1,baseline3T-cal_dv1.5T-test,6,1,0.29401993355481726,0.4011627906976744,0.8945182724252492,0.9942196531791907,0.4161849710982659,0.4149617295080518,0.016800135374069214,0.07368421052631578
True,blurred_SD1,baseline3T-cal_dv1.5T-test,7,0,0.9909998686112206,0.8969255025620811,0.9821968203915385,0.9942196531791907,0.4968729561082533,0.4911615492036556,0.9986251294612885,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,7,1,0.278175313059034,0.42486583184257604,0.9767441860465116,0.9942196531791907,0.45375722543352603,0.4519223630482049,0.016800135374069214,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,8,0,0.9922480620155039,0.8773485744317435,0.886414400210222,0.9961389961389961,0.48515171078114916,0.4812907069201453,0.9986311197280884,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,8,1,0.32737030411449014,0.33273703041144903,0.8613595706618963,0.9961389961389961,0.4015444015444015,0.39896209037590574,0.01854452583938837,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,9,0,0.9906976744186047,0.8704225352112676,0.8759908286930888,0.9961389961389961,0.4357650096836669,0.43190400582266303,0.9986086487770081,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,9,1,0.36930232558139536,0.3413953488372093,0.8093023255813954,0.9961389961389961,0.34151065203357006,0.3391227619762158,0.05108901858329773,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,10,0,0.9915911181185126,0.8461437393246617,0.8941006438050191,0.9961389961389961,0.41639767591994836,0.4125366720589445,0.9987229704856873,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,10,1,0.278175313059034,0.3774597495527728,0.8828264758497316,0.9961389961389961,0.4370561652679148,0.43319516140691094,0.016387972980737686,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,11,0,0.9918768424500491,0.8803799541434655,0.951064526695054,0.9961389961389961,0.4699806326662363,0.46611962880523244,0.998708188533783,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,11,1,0.2827906976744186,0.3916279069767442,0.947906976744186,0.9961389961389961,0.555984555984556,0.5501743558554404,0.013641223311424255,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,12,0,0.9921166732361056,0.8343187491788201,0.872684272763106,0.9961389961389961,0.42995480955455134,0.4260938056935475,0.9985987544059753,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,12,1,0.31663685152057247,0.39713774597495527,0.870304114490161,0.9961389961389961,0.46503037206717,0.4622461620524887,0.027549248188734055,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,13,0,0.990970507990126,0.8932701052358062,0.9124983759906458,0.9961389961389961,0.48224661071659136,0.4783856068555875,0.9985979795455933,0.05789473684210526
True,blurred_SD1,baseline3T-cal_dv1.5T-test,13,1,0.3488372093023256,0.3964059196617336,0.9059196617336153,0.9961389961389961,0.4180116204002582,0.41415061653925433,0.03513737581670284,0.05789473684210526
True,blurred_SD1,baseline3T-cal_dv1.5T-test,14,0,0.9911720139666644,0.895118255484551,0.9106001712892813,0.9966887417218543,0.45086321381142097,0.44755195553327526,0.9986658096313477,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,14,1,0.330749354005168,0.3643410852713178,0.896640826873385,0.9966887417218543,0.39707835325365204,0.3937670949755063,0.01932492107152939,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,15,0,0.991531496319458,0.8837860725685623,0.9078887368901049,0.9953703703703703,0.42839195979899497,0.4237623301693653,0.9987276792526245,0.060526315789473685
True,blurred_SD1,baseline3T-cal_dv1.5T-test,15,1,0.320525783619818,0.391304347826087,0.8756319514661274,0.9953703703703703,0.4296482412060301,0.4250186115764005,0.039008818566799164,0.060526315789473685
True,blurred_SD1,baseline3T-cal_dv1.5T-test,16,0,0.9942845880961766,0.8713703849691237,0.8756405202995664,0.9971014492753624,0.42925495557074506,0.4263564048461074,0.9986386299133301,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,16,1,0.3354203935599284,0.31753130590339895,0.8005366726296959,0.9971014492753624,0.34782608695652173,0.3471425599572053,0.03616617061197758,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,17,0,0.9919195900670082,0.8779398239390356,0.8872684272763106,0.9974226804123711,0.4848591549295775,0.48228183534194863,0.9986425638198853,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,17,1,0.2817531305903399,0.2880143112701252,0.855098389982111,0.9974226804123711,0.3617503993030347,0.36009873675039933,0.01200107205659151,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,18,0,0.9929707003021941,0.8820785704900801,0.929247142294048,0.9953703703703703,0.4334170854271357,0.42878745579750605,0.9986658692359924,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,18,1,0.3220035778175313,0.4150268336314848,0.9186046511627907,0.9953703703703703,0.49074074074074076,0.4894844593337056,0.02727990224957466,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,19,0,0.9910907304290861,0.8848345889289224,0.8849656075990828,0.9885057471264368,0.41196978500871584,0.40047553213515263,0.9986653327941895,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,19,1,0.32558139534883723,0.05488372093023256,0.5786046511627907,0.9885057471264368,0.16502033701336433,0.15701242928797077,0.021491674706339836,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,20,0,0.9908544551868305,0.7854063234909852,0.7876927096942775,0.9966887417218543,0.4050464807436919,0.40173522246554616,0.9986489117145538,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,20,1,0.3633720930232558,0.29554263565891475,0.6763565891472868,0.9966887417218543,0.25,0.24933598937583,0.0604166928678751,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,21,0,0.9913527677694072,0.8699639698657059,0.9348182115951523,0.9885057471264368,0.4020918070889018,0.3905975542153386,0.9986296892166138,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,21,1,0.2827906976744186,0.3841860465116279,0.9348837209302325,0.9885057471264368,0.5113306217315514,0.4998363688579882,0.013317528180778027,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,22,0,0.990776731009948,0.8812174715066868,0.938006456288293,0.9966887417218543,0.4448871181938911,0.44223987053991537,0.9986798167228699,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,22,1,0.3049095607235142,0.4160206718346253,0.9293712316968131,0.9966887417218543,0.4602649006622517,0.4596008900380817,0.022604424506425858,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,23,0,0.9931870291516541,0.8674746151326564,0.8762528660334098,0.9974226804123711,0.4619718309859155,0.45939451139828663,0.9986581802368164,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,23,1,0.36930232558139536,0.3841860465116279,0.8418604651162791,0.9974226804123711,0.3929577464788732,0.39038042689124436,0.05108901858329773,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,24,0,0.9914355359378089,0.8445879175176231,0.867514329007181,0.9953703703703703,0.4378140703517588,0.43318444072212914,0.9987143874168396,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,24,1,0.3049095607235142,0.35486649440137813,0.8708010335917312,0.9953703703703703,0.4027777777777778,0.4021496370742602,0.0139363594353199,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,25,0,0.9926872653007445,0.8791092957375322,0.9377429343171487,0.9966887417218543,0.448871181938911,0.4455599236607653,0.9986594915390015,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,25,1,0.34194659776055125,0.4496124031007752,0.9345391903531438,0.9966887417218543,0.4535192563081009,0.4502079980299552,0.039008818566799164,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,26,0,0.9914837864395677,0.840812315754995,0.8436292171634457,0.9923076923076923,0.39749702026221695,0.38980471256990923,0.9985199570655823,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,26,1,0.3683720930232558,0.3209302325581395,0.772093023255814,0.9923076923076923,0.32777115613825986,0.32188502796369306,0.055642466992139816,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,27,0,0.9916990579089532,0.8885302062059425,0.9196916792937612,0.9942196531791907,0.47522935779816516,0.4694490109773559,0.9986357688903809,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,27,1,0.330749354005168,0.39190353143841516,0.9207579672695951,0.9942196531791907,0.42018348623853213,0.4155733503031589,0.01932492107152939,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,28,0,0.9915492957746479,0.9326564035375041,0.9513920733704553,0.9961389961389961,0.5016139444803098,0.497752940619306,0.9986909031867981,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,28,1,0.30883720930232555,0.36,0.9311627906976744,0.9961389961389961,0.4034861200774693,0.39962511621646546,0.02519136480987072,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,29,0,0.9917649384017393,0.8397127610514526,0.9007180973713683,0.9974226804123711,0.4154929577464789,0.41291563815885,0.9986053109169006,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,29,1,0.2971576227390181,0.38931955211024977,0.9104220499569337,0.9974226804123711,0.3788659793814433,0.3781617540293306,0.013677282258868217,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,30,0,0.9909084919955201,0.8694907437907635,0.8765399565188747,0.9953703703703703,0.40326633165829145,0.3986367020286618,0.9985888004302979,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,30,1,0.2713178294573643,0.26184323858742464,0.8079242032730405,0.9953703703703703,0.36574074074074076,0.3626000372231528,0.013677282258868217,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,31,0,0.9910655630009197,0.8977795296281698,0.9363421363815531,0.9974226804123711,0.43309859154929575,0.4305212719616669,0.9986355602741241,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,31,1,0.3220035778175313,0.40250447227191416,0.9186046511627907,0.9974226804123711,0.34536082474226804,0.34324814868593,0.02914290316402912,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,32,0,0.992356937548994,0.8787562059054089,0.92565978573295,0.9942196531791907,0.4033639143730887,0.3975835675522794,0.998647928237915,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,32,1,0.375,0.44573643410852715,0.9505813953488372,0.9942196531791907,0.5259938837920489,0.5202135369712396,0.024332369677722454,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,33,0,0.9907370910524241,0.8971882801208777,0.950072263828669,0.9966887417218543,0.43691899070385126,0.43360773242570555,0.9986277222633362,0.06842105263157895
