variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,dv1.5T-cal_dv1.5T-test,3,1,1045,1118,0.9347048300536672,3,26,0.8169320356368006
_blurred_SD1,dv1.5T-cal_dv1.5T-test,4,0,13360,15265,0.8752047166721257,38,355,0.2854813839884925
_blurred_SD1,dv1.5T-cal_dv1.5T-test,4,1,1067,1075,0.9925581395348837,4,25,0.9706307062459605
_blurred_SD1,dv1.5T-cal_dv1.5T-test,5,0,13603,15265,0.8911234850966263,38,355,0.39500812159917403
_blurred_SD1,dv1.5T-cal_dv1.5T-test,5,1,955,1075,0.8883720930232558,4,25,0.623570794098345
_blurred_SD1,dv1.5T-cal_dv1.5T-test,6,0,13930,15222,0.9151228485087374,39,354,0.575231134679509
_blurred_SD1,dv1.5T-cal_dv1.5T-test,6,1,1059,1118,0.947227191413238,3,26,0.850143119191534
_blurred_SD1,dv1.5T-cal_dv1.5T-test,7,0,13415,15222,0.8812902378136908,39,354,0.30463433167998755
_blurred_SD1,dv1.5T-cal_dv1.5T-test,7,1,843,1118,0.7540250447227191,3,26,0.42945315417384616
_blurred_SD1,dv1.5T-cal_dv1.5T-test,8,0,13679,15179,0.901179260820871,40,353,0.6387362087294818
_blurred_SD1,dv1.5T-cal_dv1.5T-test,8,1,559,1161,0.48148148148148145,2,27,0.23246899895386702
_blurred_SD1,dv1.5T-cal_dv1.5T-test,9,0,13645,15394,0.8863843055736002,35,358,0.426690880987049
_blurred_SD1,dv1.5T-cal_dv1.5T-test,9,1,859,946,0.9080338266384778,7,22,0.5105154691300675
_blurred_SD1,dv1.5T-cal_dv1.5T-test,10,0,14117,15179,0.9300349166611767,40,353,0.8546175961766598
_blurred_SD1,dv1.5T-cal_dv1.5T-test,10,1,237,1161,0.2041343669250646,2,27,0.04209097784089061
_blurred_SD1,dv1.5T-cal_dv1.5T-test,11,0,13877,15222,0.911641045854684,39,354,0.5440403576744546
_blurred_SD1,dv1.5T-cal_dv1.5T-test,11,1,1111,1118,0.9937388193202147,3,26,0.9813669334870383
_blurred_SD1,dv1.5T-cal_dv1.5T-test,12,0,13064,15136,0.8631078224101479,41,352,0.3226124753226835
_blurred_SD1,dv1.5T-cal_dv1.5T-test,12,1,999,1204,0.829734219269103,1,28,0.8298755186721684
_blurred_SD1,dv1.5T-cal_dv1.5T-test,13,0,13444,15308,0.8782336033446564,37,356,0.3252371238656799
_blurred_SD1,dv1.5T-cal_dv1.5T-test,13,1,989,1032,0.9583333333333334,5,24,0.8088284749396785
_blurred_SD1,dv1.5T-cal_dv1.5T-test,14,0,14096,15265,0.923419587291189,38,355,0.6683103649241444
_blurred_SD1,dv1.5T-cal_dv1.5T-test,14,1,1007,1075,0.9367441860465117,4,25,0.7704705577982536
_blurred_SD1,dv1.5T-cal_dv1.5T-test,15,0,13679,15265,0.8961021945627252,38,355,0.43360753892628284
_blurred_SD1,dv1.5T-cal_dv1.5T-test,15,1,967,1075,0.8995348837209303,4,25,0.6554233635047824
_blurred_SD1,dv1.5T-cal_dv1.5T-test,16,0,13287,15308,0.8679775280898876,37,356,0.26240509058343797
_blurred_SD1,dv1.5T-cal_dv1.5T-test,16,1,859,1032,0.8323643410852714,5,24,0.4007132331876751
_blurred_SD1,dv1.5T-cal_dv1.5T-test,17,0,14124,15179,0.9304960801106792,40,353,0.8574740192538622
_blurred_SD1,dv1.5T-cal_dv1.5T-test,17,1,1148,1161,0.9888027562446167,2,27,0.9777594594082479
_blurred_SD1,dv1.5T-cal_dv1.5T-test,18,0,13882,15136,0.9171511627906976,41,352,0.7497232688010936
_blurred_SD1,dv1.5T-cal_dv1.5T-test,18,1,272,1204,0.22591362126245848,1,28,0.22655601659750818
_blurred_SD1,dv1.5T-cal_dv1.5T-test,19,0,13350,15136,0.8820031712473573,41,352,0.4600765613273017
_blurred_SD1,dv1.5T-cal_dv1.5T-test,19,1,125,1204,0.10382059800664452,1,28,0.10456431535269783
_blurred_SD1,dv1.5T-cal_dv1.5T-test,20,0,13454,15351,0.8764249886000912,36,357,0.3349071893854761
_blurred_SD1,dv1.5T-cal_dv1.5T-test,20,1,919,989,0.9292214357937311,6,23,0.6447844403246977
_blurred_SD1,dv1.5T-cal_dv1.5T-test,21,0,13503,15265,0.8845725515886014,38,355,0.34725544430787325
_blurred_SD1,dv1.5T-cal_dv1.5T-test,21,1,1029,1075,0.9572093023255814,4,25,0.8398616070720791
_blurred_SD1,dv1.5T-cal_dv1.5T-test,22,0,13458,15222,0.8841150965707528,39,354,0.32365944709357125
_blurred_SD1,dv1.5T-cal_dv1.5T-test,22,1,1074,1118,0.960644007155635,3,26,0.8867122679005177
_blurred_SD1,dv1.5T-cal_dv1.5T-test,23,0,14195,15136,0.9378303382663847,41,352,0.890799678566178
_blurred_SD1,dv1.5T-cal_dv1.5T-test,23,1,594,1204,0.49335548172757476,1,28,0.49377593360994365
_blurred_SD1,dv1.5T-cal_dv1.5T-test,24,0,13792,15179,0.9086237565056987,40,353,0.6992316301406333
_blurred_SD1,dv1.5T-cal_dv1.5T-test,24,1,1043,1161,0.8983634797588286,2,27,0.8072925530897967
_blurred_SD1,dv1.5T-cal_dv1.5T-test,25,0,13397,15265,0.877628562070095,38,355,0.3007067629321617
_blurred_SD1,dv1.5T-cal_dv1.5T-test,25,1,811,1075,0.7544186046511628,4,25,0.32490800259819896
_blurred_SD1,dv1.5T-cal_dv1.5T-test,26,0,13005,15265,0.8519489027186374,38,355,0.16620604824135535
_blurred_SD1,dv1.5T-cal_dv1.5T-test,26,1,937,1075,0.8716279069767442,4,25,0.5779865436046364
_blurred_SD1,dv1.5T-cal_dv1.5T-test,27,0,13094,15265,0.8577792335407796,38,355,0.1916741963760207
_blurred_SD1,dv1.5T-cal_dv1.5T-test,27,1,904,1075,0.8409302325581396,4,25,0.5009584797178949
_blurred_SD1,dv1.5T-cal_dv1.5T-test,28,0,14243,15308,0.9304285340998171,37,356,0.7450166840850265
_blurred_SD1,dv1.5T-cal_dv1.5T-test,28,1,983,1032,0.9525193798449613,5,24,0.7846619970520565
_blurred_SD1,dv1.5T-cal_dv1.5T-test,29,0,14001,15308,0.9146198066370526,37,356,0.6102335326717409
