class_conditional,variant_test_data,cal_test,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1,runs_count
False,blurred_SD1,dv1.5T-cal_dv1.5T-test,all,0.9449816401468788,0.8962668298653611,0.9376988984088127,0.9806308799114555,0.5253182069728832,0.503043718871057,0.9982852935791016,0.06842105263157895,100
False,blurred_SD1,dv3T-cal_dv3T-test,all,0.9609302325581396,0.8875581395348837,0.9006976744186046,0.9994465965688988,0.49169894853348095,0.4911455451023796,0.9969876110553741,0.15,100
False,blurred_SD2,baseline3T-cal_dv1.5T-test,all,0.9117197062423501,0.6796205630354957,0.7153916768665851,0.9994465965688988,0.18289983397897067,0.1823464305478694,0.9777882248163223,0.06842105263157895,100
False,blurred_SD2,baseline3T-cal_dv3T-test,all,0.9267441860465117,0.6581395348837209,0.6686046511627908,0.9977863862755949,0.15024903154399558,0.14775871610403984,0.9685321599245071,0.15,100
False,blurred_SD2,dv1.5T-cal_dv1.5T-test,all,0.9115973072215422,0.8972154222766218,0.9753671970624235,0.9773104593248478,0.5206142778085223,0.49737133370226894,0.9777082800865173,0.06842105263157895,100
False,blurred_SD2,dv3T-cal_dv3T-test,all,0.9267441860465117,0.8895348837209303,0.9337209302325582,0.9983397897066962,0.5019369120088544,0.5002767017155506,0.9685321599245071,0.15,100
False,blurred_SD3,baseline3T-cal_dv1.5T-test,all,0.7648102815177479,0.2504283965728274,0.27539779681762544,0.987825124515772,0.06170448256779192,0.052296624239070284,0.7950397580862045,0.06842105263157895,100
False,blurred_SD3,baseline3T-cal_dv3T-test,all,0.8186046511627907,0.24372093023255814,0.25034883720930234,0.9872717210846708,0.06032097399003874,0.049667957941339234,0.8039093166589737,0.15,100
False,blurred_SD3,dv1.5T-cal_dv1.5T-test,all,0.7649632802937576,0.9005507955936353,1.3502753977968176,0.9363586054233536,0.5669618151632541,0.4997232982844494,0.7947743088006973,0.06842105263157895,100
False,blurred_SD3,dv3T-cal_dv3T-test,all,0.8186046511627907,0.8927906976744187,1.1731395348837208,0.9701162147205312,0.5163254012174876,0.4905921416712784,0.8039093166589737,0.15,100
