class_conditional,variant_test_data,cal_test,run,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1
True,blurred_SD1,baseline3T-cal_dv1.5T-test,0,all,0.9510403916768666,0.8734394124847001,0.9081395348837209,0.9966887417218543,0.48375372681459594,0.4807524867417746,0.9983053207397461,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,1,all,0.9457772337821297,0.8625458996328029,0.9503671970624235,0.9961389961389961,0.44015444015444016,0.4357774725754067,0.9981926083564758,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,2,all,0.9473684210526315,0.851468788249694,0.8940636474908201,0.9953703703703703,0.42839195979899497,0.4237623301693653,0.9983106255531311,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,3,all,0.9464504283965728,0.8387392900856793,0.8846389228886169,0.9971014492753624,0.35269993164730007,0.3498013809226624,0.998324453830719,0.06315789473684211
True,blurred_SD1,baseline3T-cal_dv1.5T-test,4,all,0.9399632802937576,0.7968788249694002,0.8476132190942472,0.9942196531791907,0.41162079510703364,0.4058404482862244,0.9982773661613464,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,5,all,0.9486536107711139,0.783047735618115,0.826438188494492,0.9961389961389961,0.39768339768339767,0.39446049387947385,0.9982734322547913,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,6,all,0.9416768665850673,0.794798041615667,0.8834761321909425,0.9942196531791907,0.3944954128440367,0.3887150660232275,0.9982850551605225,0.07368421052631578
True,blurred_SD1,baseline3T-cal_dv1.5T-test,7,all,0.9422276621787026,0.8646266829865361,0.9818237454100367,0.9942196531791907,0.4941896024464832,0.48840925562567394,0.9982595443725586,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,8,all,0.9467564259485924,0.8400856793145655,0.8847001223990208,0.9961389961389961,0.47579083279535184,0.471929828934348,0.9982791244983673,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,9,all,0.9498164014687882,0.8356181150550795,0.8716034271725827,0.9961389961389961,0.4280180761781795,0.42415707231717564,0.9982593655586243,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,10,all,0.9427784577723378,0.8140758873929008,0.893329253365973,0.9961389961389961,0.4183344092963202,0.41505168361204514,0.9983900189399719,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,11,all,0.9452264381884945,0.8482252141982864,0.9508567931456549,0.9961389961389961,0.47062621045836023,0.4667652065973564,0.9983871579170227,0.06578947368421052
True,blurred_SD1,baseline3T-cal_dv1.5T-test,12,all,0.9458996328029375,0.804406364749082,0.8725214198286414,0.9961389961389961,0.4306003873466753,0.4267393834856714,0.9982333779335022,0.06842105263157895
True,blurred_SD1,baseline3T-cal_dv1.5T-test,13,all,0.9537943696450428,0.8645042839657283,0.9121175030599755,0.9961389961389961,0.47837314396384767,0.4745121401028438,0.9982922077178955,0.05789473684210526
True,blurred_SD1,baseline3T-cal_dv1.5T-test,14,all,0.9442472460220318,0.857405140758874,0.9096083231334149,0.9966887417218543,0.448207171314741,0.4448959130365953,0.9983081221580505,0.07105263157894737
True,blurred_SD1,baseline3T-cal_dv1.5T-test,15,all,0.9509179926560587,0.8539779681762546,0.9059363525091799,0.9953703703703703,0.42839195979899497,0.4237623301693653,0.9984350204467773,0.060526315789473685
