class_conditional,variant_test_data,cal_test,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1,runs_count
True,blurred_SD1,dv3T-cal_dv3T-test,all,0.9609302325581396,0.8929069767441861,0.9274418604651162,0.9961389961389961,0.5039233347594472,0.5004089666146723,0.9969876110553741,0.15,100
True,blurred_SD2,baseline3T-cal_dv1.5T-test,all,0.9117197062423501,0.5626988984088127,0.6788861689106487,0.9953703703703703,0.15297816401595604,0.14760423754745905,0.9777882248163223,0.06842105263157895,100
True,blurred_SD2,baseline3T-cal_dv3T-test,all,0.9267441860465117,0.5604651162790698,0.6503488372093024,0.9953703703703703,0.14210049438064798,0.1367426220719568,0.9685321599245071,0.15,100
True,blurred_SD2,dv1.5T-cal_dv1.5T-test,all,0.9115973072215422,0.8856487148102815,1.7260709914320684,0.80692312803136,0.6106107560204016,0.4574314574314574,0.9777082800865173,0.06842105263157895,100
True,blurred_SD2,dv3T-cal_dv3T-test,all,0.9267441860465117,0.8908139534883721,0.9919767441860465,0.9953703703703703,0.5043645689142913,0.4992941510377282,0.9685321599245071,0.15,100
True,blurred_SD3,baseline3T-cal_dv1.5T-test,all,0.7648102815177479,0.14987760097919217,0.5162484700122398,0.9898102520348677,0.1023251488890504,0.08723368249741442,0.7950397580862045,0.06842105263157895,100
True,blurred_SD3,baseline3T-cal_dv3T-test,all,0.8186046511627907,0.2213953488372093,0.5274418604651163,0.990585681375155,0.10430463576158941,0.0917696207723244,0.8039093166589737,0.15,100
True,blurred_SD3,dv1.5T-cal_dv1.5T-test,all,0.7649632802937576,0.8909730722154223,1.7641064871481027,0.783511396011396,0.6295519466744668,0.4502540111726545,0.7947743088006973,0.06842105263157895,100
True,blurred_SD3,dv3T-cal_dv3T-test,all,0.8186046511627907,0.8897674418604651,1.165,0.9767961933099548,0.5224326184228738,0.49533202389884123,0.8039093166589737,0.15,100
True,blurred_SD4,baseline3T-cal_dv1.5T-test,all,0.5866585067319461,0.06223990208078335,0.7141064871481029,0.9915492957746479,0.13748010387869647,0.12666383836241182,0.5670591592788696,0.06842105263157895,100
True,blurred_SD4,baseline3T-cal_dv3T-test,all,0.6572093023255814,0.15093023255813953,0.760813953488372,0.9925708767331172,0.1485773853323522,0.13916766995264712,0.6021497249603271,0.15,100
True,blurred_SD4,dv1.5T-cal_dv1.5T-test,all,0.588219094247246,0.890452876376989,1.7406670746634028,0.8303106713543882,0.6271167286938614,0.4738209963443273,0.5676984041929245,0.06842105263157895,100
True,blurred_SD4,dv3T-cal_dv3T-test,all,0.6572093023255814,0.8962790697674419,1.2417441860465117,0.9768429143429144,0.5471111055369868,0.5263545239977746,0.6021497249603271,0.15,100
True,contrast_adapthisteq,baseline3T-cal_dv1.5T-test,all,0.9131884944920441,0.7552325581395349,0.8465116279069768,0.9961389961389961,0.43943763158299143,0.43476015282331404,0.9982293546199799,0.06842105263157895,100
True,contrast_adapthisteq,baseline3T-cal_dv3T-test,all,0.9640697674418605,0.7801162790697674,0.8398837209302326,0.9961389961389961,0.3866652095208126,0.3824198927754958,0.9957417547702789,0.15,100
True,contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,all,0.9128212974296206,0.888984088127295,1.727019583843329,0.8040329546209555,0.6447067455751755,0.47356165082461954,0.9982268810272217,0.06842105263157895,100
True,contrast_adapthisteq,dv3T-cal_dv3T-test,all,0.9640697674418605,0.8936046511627906,0.8991860465116279,0.9961389961389961,0.49025233986580496,0.48437790805881253,0.9957417547702789,0.15,100
True,contrast_histeq,baseline3T-cal_dv1.5T-test,all,0.5405140758873929,0.20030599755201958,0.7367197062423501,0.9953703703703703,0.18552887915305027,0.17827068176695615,0.5802891552448273,0.06842105263157895,100
True,contrast_histeq,baseline3T-cal_dv3T-test,all,0.45081395348837205,0.20604651162790696,0.8287209302325582,0.998210982520297,0.3238864785256538,0.3232115769535355,0.38578639179468155,0.15,100
True,contrast_histeq,dv1.5T-cal_dv1.5T-test,all,0.5403916768665851,0.8882802937576499,1.7317931456548348,0.7910669872611904,0.7519230769230769,0.5473503254790502,0.5798189491033554,0.06842105263157895,100
True,contrast_histeq,dv3T-cal_dv3T-test,all,0.45081395348837205,0.8925581395348837,0.9587209302325581,0.9961389961389961,0.5035383664804315,0.49752130363872094,0.38578639179468155,0.15,100
True,contrast_imadjust,baseline3T-cal_dv1.5T-test,all,0.9339963280293757,0.8226438188494493,0.8912790697674419,0.9961389961389961,0.604227591463284,0.6006414603937091,0.9993585646152496,0.06842105263157895,100
True,contrast_imadjust,baseline3T-cal_dv3T-test,all,0.9558139534883721,0.8340697674418605,0.8904651162790698,0.9961389961389961,0.5949965233620088,0.5918916188606171,0.9989810734987259,0.15,100
True,contrast_imadjust,dv1.5T-cal_dv1.5T-test,all,0.9335067319461444,0.8822827417380661,1.6538555691554468,0.839529689963216,0.5914430327647144,0.46980308480351907,0.999358206987381,0.06842105263157895,100
True,contrast_imadjust,dv3T-cal_dv3T-test,all,0.9558139534883721,0.8955813953488372,0.9194186046511628,0.9961389961389961,0.49408071668867254,0.48855040575524794,0.9989810734987259,0.15,100
True,baseline,baseline3T-cal_dv1.5T-test,all,0.9493880048959609,0.8770195838433292,0.9232864137086902,0.9961389961389961,0.537571704028015,0.533022719727037,0.9991360604763031,0.06842105263157895,100
True,baseline,baseline3T-cal_dv3T-test,all,0.9650000000000001,0.8915116279069768,0.9123255813953488,0.9961389961389961,0.49733230311532106,0.49395252582250027,0.9986386895179749,0.15,100
True,baseline,dv1.5T-cal_dv1.5T-test,all,0.9490820073439412,0.8809975520195839,1.6675030599755203,0.8391428295322767,0.5789042757138293,0.4551243222392246,0.9991346597671509,0.06842105263157895,100
True,baseline,dv3T-cal_dv3T-test,all,0.9650000000000001,0.8915116279069768,0.9123255813953488,0.9961389961389961,0.49733230311532106,0.49395252582250027,0.9986386895179749,0.15,100
