variant_test_data,cal_test,run,n_cov,n_val,coverage,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,51,13937,16340,0.852937576499388,7.546287373768262e-09
_blurred_SD1,baseline3T-cal_dv1.5T-test,52,14202,16340,0.869155446756426,6.257886842224797e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,53,14517,16340,0.8884332925336598,0.06649750200770062
_blurred_SD1,baseline3T-cal_dv1.5T-test,54,14077,16340,0.8615055079559364,1.236307353238504e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,55,13738,16340,0.8407588739290086,1.6577422175142461e-12
_blurred_SD1,baseline3T-cal_dv1.5T-test,56,14168,16340,0.8670746634026928,2.288000828295418e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,57,14568,16340,0.8915544675642595,0.13470374296125628
_blurred_SD1,baseline3T-cal_dv1.5T-test,58,14301,16340,0.8752141982864137,0.0008928868472329145
_blurred_SD1,baseline3T-cal_dv1.5T-test,59,15156,16340,0.9275397796817626,0.9999746934241046
_blurred_SD1,baseline3T-cal_dv1.5T-test,60,14071,16340,0.8611383108935129,1.0085195858471341e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,61,13655,16340,0.8356793145654835,3.381731999456294e-14
_blurred_SD1,baseline3T-cal_dv1.5T-test,62,14153,16340,0.866156670746634,1.4463257592360726e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,63,14332,16340,0.8771113831089351,0.0018839740320534704
_blurred_SD1,baseline3T-cal_dv1.5T-test,64,14357,16340,0.878641370869033,0.0033367526550176895
_blurred_SD1,baseline3T-cal_dv1.5T-test,65,13670,16340,0.8365973072215422,6.942059214247656e-14
_blurred_SD1,baseline3T-cal_dv1.5T-test,66,14273,16340,0.8735006119951041,0.00043899997473686656
_blurred_SD1,baseline3T-cal_dv1.5T-test,67,14262,16340,0.8728274173806609,0.00032913500298578966
_blurred_SD1,baseline3T-cal_dv1.5T-test,68,14900,16340,0.9118727050183598,0.9514887824448689
_blurred_SD1,baseline3T-cal_dv1.5T-test,69,13893,16340,0.8502447980416157,1.314660831742031e-09
_blurred_SD1,baseline3T-cal_dv1.5T-test,70,13851,16340,0.8476744186046512,2.330369402865166e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,71,13841,16340,0.847062423500612,1.5300505942286597e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,72,14219,16340,0.8701958384332925,0.00010168590197015641
_blurred_SD1,baseline3T-cal_dv1.5T-test,73,15166,16340,0.9281517747858017,0.9999835325407533
_blurred_SD1,baseline3T-cal_dv1.5T-test,74,14265,16340,0.8730110159118727,0.0003562130105067832
_blurred_SD1,baseline3T-cal_dv1.5T-test,75,14877,16340,0.9104651162790698,0.9274389736400436
_blurred_SD1,baseline3T-cal_dv1.5T-test,76,13842,16340,0.847123623011016,1.596037767342147e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,77,14187,16340,0.8682374541003672,4.03781897184003e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,78,14746,16340,0.9024479804161567,0.6319397317746421
_blurred_SD1,baseline3T-cal_dv1.5T-test,79,14457,16340,0.8847613219094247,0.024833701190381405
_blurred_SD1,baseline3T-cal_dv1.5T-test,80,13450,16340,0.8231334149326806,9.338791026406573e-19
_blurred_SD1,baseline3T-cal_dv1.5T-test,81,14115,16340,0.8638310893512852,4.3488488721198586e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,82,14867,16340,0.9098531211750306,0.9145805520225434
_blurred_SD1,baseline3T-cal_dv1.5T-test,83,13932,16340,0.8526315789473684,6.2082523049566915e-09
_blurred_SD1,baseline3T-cal_dv1.5T-test,84,14980,16340,0.9167686658506732,0.9913122190689305
_blurred_SD1,baseline3T-cal_dv1.5T-test,85,14463,16340,0.8851285189718482,0.027610022499262716
_blurred_SD1,baseline3T-cal_dv1.5T-test,86,14638,16340,0.8958384332925337,0.2919472192934079
_blurred_SD1,baseline3T-cal_dv1.5T-test,87,13953,16340,0.8539167686658506,1.4008954589902984e-08
_blurred_SD1,baseline3T-cal_dv1.5T-test,88,14554,16340,0.8906976744186047,0.1123169794729166
_blurred_SD1,baseline3T-cal_dv1.5T-test,89,14325,16340,0.8766829865361077,0.0015974758244465738
_blurred_SD1,baseline3T-cal_dv1.5T-test,90,14436,16340,0.8834761321909425,0.016916287751953727
_blurred_SD1,baseline3T-cal_dv1.5T-test,91,14260,16340,0.8727050183598531,0.0003121706645103487
_blurred_SD1,baseline3T-cal_dv1.5T-test,92,14596,16340,0.8932680538555692,0.18855482404391433
_blurred_SD1,baseline3T-cal_dv1.5T-test,93,13421,16340,0.8213586291309669,1.9200713485578744e-19
_blurred_SD1,baseline3T-cal_dv1.5T-test,94,14795,16340,0.9054467564259486,0.7732379210335399
_blurred_SD1,baseline3T-cal_dv1.5T-test,95,14096,16340,0.8626682986536107,2.3348686191757103e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,96,13943,16340,0.8533047735618116,9.52677145295282e-09
_blurred_SD1,baseline3T-cal_dv1.5T-test,97,14883,16340,0.9108323133414933,0.9344302992280158
_blurred_SD1,baseline3T-cal_dv1.5T-test,98,13654,16340,0.8356181150550795,3.2226248782200444e-14
_blurred_SD1,baseline3T-cal_dv1.5T-test,99,13935,16340,0.8528151774785802,6.9802910767874124e-09
_blurred_SD1,baseline3T-cal_dv3T-test,0,3757,4300,0.8737209302325581,0.0016903095148194233
_blurred_SD1,baseline3T-cal_dv3T-test,1,3937,4300,0.9155813953488372,0.9741349584179358
_blurred_SD1,baseline3T-cal_dv3T-test,2,3693,4300,0.8588372093023255,4.030109553966171e-06
_blurred_SD1,baseline3T-cal_dv3T-test,3,3817,4300,0.8876744186046511,0.07914140091257409
_blurred_SD1,baseline3T-cal_dv3T-test,4,3505,4300,0.8151162790697675,5.261051631655777e-18
_blurred_SD1,baseline3T-cal_dv3T-test,5,3508,4300,0.815813953488372,8.974891228844068e-18
_blurred_SD1,baseline3T-cal_dv3T-test,6,3291,4300,0.7653488372093024,1.7747132235396293e-37
_blurred_SD1,baseline3T-cal_dv3T-test,7,3854,4300,0.8962790697674419,0.3349892538579438
_blurred_SD1,baseline3T-cal_dv3T-test,8,3706,4300,0.8618604651162791,1.59928200450018e-05
_blurred_SD1,baseline3T-cal_dv3T-test,9,3647,4300,0.848139534883721,1.719820860807671e-08
_blurred_SD1,baseline3T-cal_dv3T-test,10,3908,4300,0.9088372093023256,0.8617371779687303
_blurred_SD1,baseline3T-cal_dv3T-test,11,4052,4300,0.9423255813953488,0.9999999955404046
_blurred_SD1,baseline3T-cal_dv3T-test,12,3717,4300,0.8644186046511628,4.8401538830932455e-05
_blurred_SD1,baseline3T-cal_dv3T-test,13,3847,4300,0.8946511627906977,0.269101731218114
_blurred_SD1,baseline3T-cal_dv3T-test,14,3810,4300,0.8860465116279069,0.05559585012921527
_blurred_SD1,baseline3T-cal_dv3T-test,15,3808,4300,0.8855813953488372,0.05002433660612008
_blurred_SD1,baseline3T-cal_dv3T-test,16,3694,4300,0.8590697674418605,4.492722397722088e-06
_blurred_SD1,baseline3T-cal_dv3T-test,17,3728,4300,0.8669767441860465,0.00013861898004840823
_blurred_SD1,baseline3T-cal_dv3T-test,18,3841,4300,0.8932558139534884,0.21867761505394745
_blurred_SD1,baseline3T-cal_dv3T-test,19,3353,4300,0.7797674418604651,2.8114855750025257e-31
_blurred_SD1,baseline3T-cal_dv3T-test,20,3438,4300,0.7995348837209302,1.6877398946573403e-23
_blurred_SD1,baseline3T-cal_dv3T-test,21,3582,4300,0.8330232558139535,1.84734407147949e-12
_blurred_SD1,baseline3T-cal_dv3T-test,22,4024,4300,0.935813953488372,0.9999989934180566
_blurred_SD1,baseline3T-cal_dv3T-test,23,3874,4300,0.9009302325581395,0.5490464961971447
_blurred_SD1,baseline3T-cal_dv3T-test,24,3545,4300,0.8244186046511628,5.1266195146537734e-15
_blurred_SD1,baseline3T-cal_dv3T-test,25,3803,4300,0.8844186046511628,0.03806831217500351
_blurred_SD1,baseline3T-cal_dv3T-test,26,3343,4300,0.7774418604651163,3.0061973262751473e-32
_blurred_SD1,baseline3T-cal_dv3T-test,27,3597,4300,0.8365116279069768,1.751096539743101e-11
_blurred_SD1,baseline3T-cal_dv3T-test,28,4026,4300,0.9362790697674419,0.999999287946486
_blurred_SD1,baseline3T-cal_dv3T-test,29,3686,4300,0.8572093023255813,1.860746505445279e-06
_blurred_SD1,baseline3T-cal_dv3T-test,30,3683,4300,0.8565116279069768,1.3275065513038326e-06
_blurred_SD1,baseline3T-cal_dv3T-test,31,3950,4300,0.9186046511627907,0.9903831589402868
_blurred_SD1,baseline3T-cal_dv3T-test,32,3738,4300,0.8693023255813953,0.000343577795801336
_blurred_SD1,baseline3T-cal_dv3T-test,33,4037,4300,0.9388372093023256,0.9999999048616934
_blurred_SD1,baseline3T-cal_dv3T-test,34,3699,4300,0.8602325581395349,7.684596438946068e-06
_blurred_SD1,baseline3T-cal_dv3T-test,35,3692,4300,0.8586046511627907,3.61355620712187e-06
_blurred_SD1,baseline3T-cal_dv3T-test,36,3568,4300,0.8297674418604651,2.105798182690948e-13
_blurred_SD1,baseline3T-cal_dv3T-test,37,3557,4300,0.8272093023255814,3.6435155422725646e-14
_blurred_SD1,baseline3T-cal_dv3T-test,38,4056,4300,0.9432558139534883,0.9999999981554614
_blurred_SD1,baseline3T-cal_dv3T-test,39,3899,4300,0.9067441860465116,0.7963737797246361
_blurred_SD1,baseline3T-cal_dv3T-test,40,3701,4300,0.8606976744186047,9.495719725826527e-06
_blurred_SD1,baseline3T-cal_dv3T-test,41,3692,4300,0.8586046511627907,3.61355620712187e-06
_blurred_SD1,baseline3T-cal_dv3T-test,42,3750,4300,0.872093023255814,0.0009590706457834235
_blurred_SD1,baseline3T-cal_dv3T-test,43,3293,4300,0.7658139534883721,2.8557636501737356e-37
_blurred_SD1,baseline3T-cal_dv3T-test,44,3967,4300,0.9225581395348837,0.9979463536877953
_blurred_SD1,baseline3T-cal_dv3T-test,45,3362,4300,0.781860465116279,2.0558265331182444e-30
_blurred_SD1,baseline3T-cal_dv3T-test,46,3578,4300,0.8320930232558139,1.000348561882764e-12
_blurred_SD1,baseline3T-cal_dv3T-test,47,3970,4300,0.9232558139534883,0.9984843556074273
_blurred_SD1,baseline3T-cal_dv3T-test,48,3674,4300,0.8544186046511628,4.7107721400710577e-07
_blurred_SD1,baseline3T-cal_dv3T-test,49,3355,4300,0.7802325581395348,4.38279067718754e-31
_blurred_SD1,baseline3T-cal_dv3T-test,50,3439,4300,0.7997674418604651,2.058632396605062e-23
_blurred_SD1,baseline3T-cal_dv3T-test,51,3550,4300,0.8255813953488372,1.1675636620862418e-14
