variant_test_data,cal_test,run,n_cov,n_val,coverage,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,14535,16340,0.8895348837209303,0.49905088262786995
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,14820,16340,0.9069767441860465,0.6480713949373589
_blurred_SD1,baseline3T-cal_dv1.5T-test,2,14270,16340,0.8733170134638923,0.3717448195090155
_blurred_SD1,baseline3T-cal_dv1.5T-test,3,14585,16340,0.892594859241126,0.5247061606681714
_blurred_SD1,baseline3T-cal_dv1.5T-test,4,13847,16340,0.8474296205630355,0.21168296708718326
_blurred_SD1,baseline3T-cal_dv1.5T-test,5,13986,16340,0.8559363525091799,0.2577658142696676
_blurred_SD1,baseline3T-cal_dv1.5T-test,6,13464,16340,0.8239902080783353,0.11633289482566836
_blurred_SD1,baseline3T-cal_dv1.5T-test,7,14603,16340,0.8936964504283966,0.534027889941104
_blurred_SD1,baseline3T-cal_dv1.5T-test,8,14373,16340,0.8796205630354957,0.4191818760547457
_blurred_SD1,baseline3T-cal_dv1.5T-test,9,14203,16340,0.8692166462668298,0.3425355387031498
_blurred_SD1,baseline3T-cal_dv1.5T-test,10,14762,16340,0.9034271725826193,0.6175219471209169
_blurred_SD1,baseline3T-cal_dv1.5T-test,11,15169,16340,0.9283353733170134,0.8197939974212254
_blurred_SD1,baseline3T-cal_dv1.5T-test,12,14335,16340,0.8772949816401469,0.40134168542596943
_blurred_SD1,baseline3T-cal_dv1.5T-test,13,14688,16340,0.8988984088127295,0.5784940709053377
_blurred_SD1,baseline3T-cal_dv1.5T-test,14,14522,16340,0.8887392900856793,0.49244560502336354
_blurred_SD1,baseline3T-cal_dv1.5T-test,15,14663,16340,0.8973684210526316,0.5653546066940891
_blurred_SD1,baseline3T-cal_dv1.5T-test,16,14378,16340,0.8799265605875153,0.4215572756070798
_blurred_SD1,baseline3T-cal_dv1.5T-test,17,14337,16340,0.8774173806609548,0.4022710607249112
_blurred_SD1,baseline3T-cal_dv1.5T-test,18,14687,16340,0.8988372093023256,0.5779677894352914
_blurred_SD1,baseline3T-cal_dv1.5T-test,19,13530,16340,0.8280293757649939,0.12970174460234038
_blurred_SD1,baseline3T-cal_dv1.5T-test,20,13958,16340,0.8542227662178703,0.2479643899788463
_blurred_SD1,baseline3T-cal_dv1.5T-test,21,14103,16340,0.8630966952264382,0.30155399909938474
_blurred_SD1,baseline3T-cal_dv1.5T-test,22,15045,16340,0.9207466340269278,0.7625180324193025
_blurred_SD1,baseline3T-cal_dv1.5T-test,23,14838,16340,0.9080783353733171,0.6575127062225493
_blurred_SD1,baseline3T-cal_dv1.5T-test,24,14010,16340,0.857405140758874,0.2663759785450995
_blurred_SD1,baseline3T-cal_dv1.5T-test,25,14545,16340,0.8901468788249693,0.5041511789644968
_blurred_SD1,baseline3T-cal_dv1.5T-test,26,13585,16340,0.8313953488372093,0.14176053057486476
_blurred_SD1,baseline3T-cal_dv1.5T-test,27,14044,16340,0.859485924112607,0.27890336496287055
_blurred_SD1,baseline3T-cal_dv1.5T-test,28,15127,16340,0.925764993880049,0.8010364516555082
_blurred_SD1,baseline3T-cal_dv1.5T-test,29,14343,16340,0.8777845777233783,0.40506567109373165
_blurred_SD1,baseline3T-cal_dv1.5T-test,30,14183,16340,0.8679926560587515,0.33408393418378646
_blurred_SD1,baseline3T-cal_dv1.5T-test,31,14856,16340,0.9091799265605875,0.6669252891960281
_blurred_SD1,baseline3T-cal_dv1.5T-test,32,14555,16340,0.8907588739290085,0.5092675398130053
_blurred_SD1,baseline3T-cal_dv1.5T-test,33,15139,16340,0.926499388004896,0.806468444595872
_blurred_SD1,baseline3T-cal_dv1.5T-test,34,14279,16340,0.8738678090575276,0.3757708107863328
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,14359,16340,0.8787637698898408,0.41256495915366087
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,14093,16340,0.862484700122399,0.29763397466173397
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,14087,16340,0.8621175030599755,0.29529775268566455
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,15260,16340,0.9339045287637698,0.857767060817333
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,14747,16340,0.9025091799265605,0.6096055393539416
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,14265,16340,0.8730110159118727,0.3695184277333149
_blurred_SD1,baseline3T-cal_dv1.5T-test,41,14393,16340,0.880844553243574,0.4287212998505763
_blurred_SD1,baseline3T-cal_dv1.5T-test,42,14476,16340,0.8859241126070991,0.4693208520094943
_blurred_SD1,baseline3T-cal_dv1.5T-test,43,13511,16340,0.8268665850673195,0.12573229631222174
_blurred_SD1,baseline3T-cal_dv1.5T-test,44,14913,16340,0.9126682986536108,0.6964752837722245
_blurred_SD1,baseline3T-cal_dv1.5T-test,45,13590,16340,0.8317013463892289,0.1428994915517887
_blurred_SD1,baseline3T-cal_dv1.5T-test,46,14110,16340,0.8635250917992656,0.30431754286771273
_blurred_SD1,baseline3T-cal_dv1.5T-test,47,14886,16340,0.911015911872705,0.6825331369407629
_blurred_SD1,baseline3T-cal_dv1.5T-test,48,14251,16340,0.8721542227662179,0.36332392703370314
_blurred_SD1,baseline3T-cal_dv1.5T-test,49,13565,16340,0.8301713586291309,0.1372764632631204
_blurred_SD1,baseline3T-cal_dv1.5T-test,50,13707,16340,0.8388616891064872,0.17166558082011307
_blurred_SD1,baseline3T-cal_dv1.5T-test,51,13937,16340,0.852937576499388,0.24078554678902997
_blurred_SD1,baseline3T-cal_dv1.5T-test,52,14202,16340,0.869155446756426,0.34210998580569524
_blurred_SD1,baseline3T-cal_dv1.5T-test,53,14517,16340,0.8884332925336598,0.4899129443676984
_blurred_SD1,baseline3T-cal_dv1.5T-test,54,14077,16340,0.8615055079559364,0.2914304403616032
_blurred_SD1,baseline3T-cal_dv1.5T-test,55,13738,16340,0.8407588739290086,0.17998805586811426
_blurred_SD1,baseline3T-cal_dv1.5T-test,56,14168,16340,0.8670746634026928,0.32782798390297513
_blurred_SD1,baseline3T-cal_dv1.5T-test,57,14568,16340,0.8915544675642595,0.5159417085095576
_blurred_SD1,baseline3T-cal_dv1.5T-test,58,14301,16340,0.8752141982864137,0.38571089857699226
_blurred_SD1,baseline3T-cal_dv1.5T-test,59,15156,16340,0.9275397796817626,0.8140652371976655
_blurred_SD1,baseline3T-cal_dv1.5T-test,60,14071,16340,0.8611383108935129,0.2891259202279105
_blurred_SD1,baseline3T-cal_dv1.5T-test,61,13655,16340,0.8356793145654835,0.15837260253025948
_blurred_SD1,baseline3T-cal_dv1.5T-test,62,14153,16340,0.866156670746634,0.3216436863484486
_blurred_SD1,baseline3T-cal_dv1.5T-test,63,14332,16340,0.8771113831089351,0.39994965954981054
_blurred_SD1,baseline3T-cal_dv1.5T-test,64,14357,16340,0.878641370869033,0.41162384774330385
